basename,sap_score
binder00080_CD20_46-217,58.787
binder00081_CD20_46-217,50.309
binder00082_CD20_46-217,68.716
binder00083_CD20_46-217,56.978
binder00084_CD20_46-217,56.299
binder00085_CD20_46-217,53.662
binder00086_CD20_46-217,63.231
binder00087_CD20_46-217,57.479
binder00088_CD20_46-217,54.561
binder00089_CD20_46-217,56.499
binder00090_CD20_46-217,52.241
binder00091_CD20_46-217,55.068
binder00092_CD20_46-217,52.636
binder00093_CD20_46-217,50.318
binder00094_CD20_46-217,50.278
binder00095_CD20_46-217,66.828
binder00096_CD20_46-217,54.221
binder00097_CD20_46-217,58.632
binder00098_CD20_46-217,59.205
binder00099_CD20_46-217,64.998
binder00100_CD20_46-217,62.716
binder00101_CD20_46-217,69.595
binder00102_CD20_46-217,75.85
binder00103_CD20_46-217,83.827
binder00104_CD20_46-217,75.549
binder00105_CD20_46-217,65.511
binder00106_CD20_46-217,76.473
binder00107_CD20_46-217,48.717
binder00108_CD20_46-217,54.669
binder00109_CD20_46-217,73.723
binder00110_CD20_46-217,75.519
binder00111_CD20_46-217,64.922
binder00112_CD20_46-217,69.685
binder00113_CD20_46-217,91.03
binder00114_CD20_46-217,69.846
binder00115_CD20_46-217,72.693
binder00116_CD20_46-217,75.34
binder00117_CD20_46-217,76.686
binder00118_CD20_46-217,66.632
binder00119_CD20_46-217,86.27
binder00120_CD20_46-217,81.306
binder00121_CD20_46-217,75.036
binder00122_CD20_46-217,82.317
binder00123_CD20_46-217,74.879
binder00124_CD20_46-217,78.888
binder00125_CD20_46-217,59.879
binder00126_CD20_46-217,58.415
binder00127_CD20_46-217,70.233
binder00128_CD20_46-217,66.388
binder00129_CD20_46-217,59.971
binder00130_CD20_46-217,48.335
binder00131_CD20_46-217,54.803
binder00132_CD20_46-217,63.918
binder00133_CD20_46-217,56.837
binder00134_CD20_46-217,52.889
binder00135_CD20_46-217,52.343
binder00136_CD20_46-217,45.154
binder00137_CD20_46-217,55.766
binder00138_CD20_46-217,67.655
binder00139_CD20_46-217,48.804
binder00140_CD20_46-217,51.779
binder00141_CD20_46-217,65.524
binder00142_CD20_46-217,69.549
binder00143_CD20_46-217,83.697
binder00144_CD20_46-217,70.219
binder00145_CD20_46-217,68.677
binder00146_CD20_46-217,60.472
binder00147_CD20_46-217,82.53
binder00148_CD20_46-217,81.052
binder00149_CD20_46-217,61.706
binder00150_CD20_46-217,49.853
binder00151_CD20_46-217,52.53
binder00152_CD20_46-217,68.871
binder00153_CD20_46-217,62.581
binder00154_CD20_46-217,48.685
binder00155_CD20_46-217,70.391
binder00156_CD20_46-217,59.912
binder00157_CD20_46-217,59.734
binder00158_CD20_46-217,50.767
binder00159_CD20_46-217,65.166
binder00160_CD20_46-217,75.561
binder00161_CD20_46-217,74.663
binder00162_CD20_46-217,60.41
binder00163_CD20_46-217,61.113
binder00164_CD20_46-217,63.315
binder00165_CD20_46-217,62.996
binder00166_CD20_46-217,52.422
binder00167_CD20_46-217,66.257
binder00168_CD20_46-217,53.846
binder00169_CD20_46-217,65.257
binder00170_CD20_46-217,73.764
binder00171_CD20_46-217,66.907
binder00172_CD20_46-217,87.1
binder00173_CD20_46-217,78.267
binder00174_CD20_46-217,76.546
binder00175_CD20_46-217,72.274
binder00176_CD20_46-217,72.177
binder00177_CD20_46-217,76.287
binder00178_CD20_46-217,68.187
binder00179_CD20_46-217,64.857
binder00180_CD20_46-217,66.682
binder00181_CD20_46-217,61.854
binder00182_CD20_46-217,72.055
binder00183_CD20_46-217,68.235
binder00184_CD20_46-217,65.025
binder00185_CD20_46-217,70.144
binder00186_CD20_46-217,72.105
binder00187_CD20_46-217,71.156
binder00188_CD20_46-217,62.489
binder00189_CD20_46-217,77.255
binder00190_CD20_46-217,66.674
binder00191_CD20_46-217,75.383
binder00192_CD20_46-217,61.92
binder00193_CD20_46-217,77.841
binder00194_CD20_46-217,80.397
binder00195_CD20_46-217,68.309
binder00196_CD20_46-217,68.825
binder00197_CD20_46-217,72.648
binder00198_CD20_46-217,70.411
binder00199_CD20_46-217,76.396
binder00200_CD20_46-217,79.049
binder00201_CD20_46-217,85.158
binder00202_CD20_46-217,63.287
binder00203_CD20_46-217,69.952
binder00204_CD20_46-217,60.893
binder00205_CD20_46-217,81.171
binder00206_CD20_46-217,73.642
binder00207_CD20_46-217,57.889
binder00208_CD20_46-217,65.692
binder00209_CD20_46-217,80.155
binder00210_CD20_46-217,74.827
binder00211_CD20_46-217,61.828
binder00212_CD20_46-217,65.371
binder00213_CD20_46-217,74.035
binder00214_CD20_46-217,68.399
binder00215_CD20_46-217,79.775
binder00216_CD20_46-217,59.15
binder00217_CD20_46-217,63.897
binder00218_CD20_46-217,69.835
binder00219_CD20_46-217,73.224
binder00220_CD20_46-217,71.853
binder00221_CD20_46-217,96.138
binder00222_CD20_46-217,61.497
binder00223_CD20_46-217,85.194
binder00224_CD20_46-217,79.077
binder00225_CD20_46-217,54.891
binder00226_CD20_46-217,55.838
binder00227_CD20_46-217,82.855
binder00228_CD20_46-217,57.86
binder00229_CD20_46-217,68.608
binder00230_CD20_46-217,67.783
binder00231_CD20_46-217,57.912
binder00232_CD20_46-217,62.771
binder00233_CD20_46-217,63.751
binder00234_CD20_46-217,64.455
binder00235_CD20_46-217,72.955
binder00236_CD20_46-217,62.585
binder00237_CD20_46-217,66.896
binder00238_CD20_46-217,57.321
binder00239_CD20_46-217,81.097
binder00240_CD20_46-217,83.223
binder00241_CD20_46-217,81.895
binder00242_CD20_46-217,70.059
binder00243_CD20_46-217,65.941
binder00244_CD20_46-217,66.664
binder00245_CD20_46-217,65.509
binder00246_CD20_46-217,69.096
binder00247_CD20_46-217,60.355
binder00248_CD20_46-217,58.936
binder00249_CD20_46-217,66.025
binder00250_CD20_46-217,57.763
binder00251_CD20_46-217,82.421
binder00252_CD20_46-217,63.522
binder00253_CD20_46-217,58.898
binder00254_CD20_46-217,67.678
binder00255_CD20_46-217,80.137
binder00256_CD20_46-217,66.327
binder00257_CD20_46-217,78.718
binder00258_CD20_46-217,56.78
binder00259_CD20_46-217,68.418
binder00260_CD20_46-217,66.193
binder00261_CD20_46-217,43.229
binder00262_CD20_46-217,39.526
binder00263_CD20_46-217,43.04
binder00264_CD20_46-217,46.397
binder00265_CD20_46-217,55.835
binder00266_CD20_46-217,52.049
binder00267_CD20_46-217,53.47
binder00268_CD20_46-217,50.135
binder00269_CD20_46-217,46.444
binder00270_CD20_46-217,46.997
binder00271_CD20_46-217,54.611
binder00272_CD20_46-217,56.385
binder00273_CD20_46-217,47.241
binder00274_CD20_46-217,42.388
binder00275_CD20_46-217,49.619
binder00276_CD20_46-217,47.128
binder00277_CD20_46-217,48.794
binder00278_CD20_46-217,50.046
binder00279_CD20_46-217,45.603
binder00280_CD20_46-217,51.536
binder00281_CD20_46-217,46.807
binder00282_CD20_46-217,49.681
binder00283_CD20_46-217,57.03
binder00284_CD20_46-217,52.963
binder00285_CD20_46-217,51.463
binder00286_CD20_46-217,53.127
binder00287_CD20_46-217,56.381
binder00288_CD20_46-217,53.599
binder00289_CD20_46-217,49.355
binder00290_CD20_46-217,52.92
binder00291_CD20_46-217,41.378
binder00292_CD20_46-217,46.636
binder00293_CD20_46-217,55.115
binder00294_CD20_46-217,40.344
binder00295_CD20_46-217,49.379
binder00296_CD20_46-217,41.522
binder00297_CD20_46-217,55.496
binder00298_CD20_46-217,40.633
binder00299_CD20_46-217,46.796
binder00300_CD20_46-217,46.477
binder00301_CD20_46-217,52.539
binder00302_CD20_46-217,50.03
binder00303_CD20_46-217,67.15
binder00304_CD20_46-217,60.62
binder00305_CD20_46-217,53.745
binder00306_CD20_46-217,51.013
binder00307_CD20_46-217,50.109
binder00308_CD20_46-217,51.96
binder00309_CD20_46-217,54.209
binder00310_CD20_46-217,59.85
binder00311_CD20_46-217,51.461
binder00312_CD20_46-217,48.181
binder00313_CD20_46-217,50.637
binder00314_CD20_46-217,49.872
binder00315_CD20_46-217,60.652
binder00316_CD20_46-217,46.217
binder00317_CD20_46-217,54.365
binder00318_CD20_46-217,53.404
binder00319_CD20_46-217,52.31
binder00320_CD20_46-217,44.001
binder00321_CD20_46-217,63.041
binder00322_CD20_46-217,52.945
binder00323_CD20_46-217,50.215
binder00324_CD20_46-217,47.173
binder00325_CD20_46-217,50.931
binder00326_CD20_46-217,45.286
binder00327_CD20_46-217,53.491
binder00328_CD20_46-217,48.056
binder00329_CD20_46-217,49.418
binder00330_CD20_46-217,53.011
binder00331_CD20_46-217,44.708
binder00332_CD20_46-217,46.561
binder00333_CD20_46-217,57.789
binder00334_CD20_46-217,44.474
binder00335_CD20_46-217,51.914
binder00336_CD20_46-217,56.061
binder00337_CD20_46-217,52.979
binder00338_CD20_46-217,69.239
binder00339_CD20_46-217,42.109
binder00340_CD20_46-217,55.804
binder00341_CD20_46-217,57.215
binder00342_CD20_46-217,51.201
binder00343_CD20_46-217,50.679
binder00344_CD20_46-217,35.334
binder00345_CD20_46-217,51.955
binder00346_CD20_46-217,46.757
binder00347_CD20_46-217,54.407
binder00348_CD20_46-217,55.617
binder00349_CD20_46-217,60.293
binder00350_CD20_46-217,56.995
binder00351_CD20_46-217,46.959
binder00352_CD20_46-217,44.986
binder00353_CD20_46-217,48.772
binder00354_CD20_46-217,54.044
binder00355_CD20_46-217,66.138
binder00356_CD20_46-217,52.448
binder00357_CD20_46-217,48.573
binder00358_CD20_46-217,42.969
binder00359_CD20_46-217,39.567
binder00360_CD20_46-217,54.22
binder00361_CD20_46-217,58.262
binder00362_CD20_46-217,44.231
binder00363_CD20_46-217,56.093
binder00364_CD20_46-217,59.17
binder00365_CD20_46-217,47.971
binder00366_CD20_46-217,48.399
binder00367_CD20_46-217,49.559
binder00368_CD20_46-217,44.132
binder00369_CD20_46-217,61.042
binder00370_CD20_46-217,49.225
binder00371_CD20_46-217,65.314
binder00372_CD20_46-217,49.346
binder00373_CD20_46-217,43.934
binder00374_CD20_46-217,61.022
binder00375_CD20_46-217,41.245
binder00376_CD20_46-217,52.474
binder00377_CD20_46-217,54.132
binder00378_CD20_46-217,59.231
binder00379_CD20_46-217,51.312
binder00380_CD20_46-217,48.64
binder00381_CD20_46-217,56.957
binder00382_CD20_46-217,62.253
binder00383_CD20_46-217,42.536
binder00384_CD20_46-217,48.054
binder00385_CD20_46-217,54.401
binder00386_CD20_46-217,40.992
binder00387_CD20_46-217,50.257
binder00388_CD20_46-217,51.566
binder00389_CD20_46-217,53.027
binder00390_CD20_46-217,58.489
binder00391_CD20_46-217,48.416
binder00392_CD20_46-217,49.308
binder00393_CD20_46-217,38.594
binder00394_CD20_46-217,45.733
binder00395_CD20_46-217,52.331
binder00396_CD20_46-217,49.792
binder00397_CD20_46-217,46.489
binder00398_CD20_46-217,42.957
binder00399_CD20_46-217,58.905
binder00400_CD20_46-217,46.032
binder00401_CD20_46-217,48.47
binder00402_CD20_46-217,47.262
binder00403_CD20_46-217,53.253
binder00404_CD20_46-217,49.124
binder00405_CD20_46-217,48.462
binder00406_CD20_46-217,52.254
binder00407_CD20_46-217,44.689
binder00408_CD20_46-217,64.712
binder00409_CD20_46-217,43.035
binder00410_CD20_46-217,54.315
binder00411_CD20_46-217,50.884
binder00412_CD20_46-217,50.327
binder00413_CD20_46-217,55.013
binder00414_CD20_46-217,52.534
binder00415_CD20_46-217,50.815
binder00416_CD20_46-217,41.909
binder00417_CD20_46-217,48.764
binder00418_CD20_46-217,50.022
binder00419_CD20_46-217,50.305
binder00420_CD20_46-217,63.459
binder00421_CD20_46-217,39.975
binder00422_CD20_46-217,46.815
binder00423_CD20_46-217,56.553
binder00424_CD20_46-217,51.979
binder00425_CD20_46-217,58.65
binder00426_CD20_46-217,54.866
binder00427_CD20_46-217,47.054
binder00428_CD20_46-217,49.895
binder00429_CD20_46-217,50.807
binder00430_CD20_46-217,41.858
binder00431_CD20_46-217,49.391
binder00432_CD20_46-217,41.797
binder00433_CD20_46-217,40.739
binder00434_CD20_46-217,44.971
binder00435_CD20_46-217,48.418
binder00436_CD20_46-217,48.591
binder00437_CD20_46-217,40.729
binder00438_CD20_46-217,39.666
binder00439_CD20_46-217,51.445
binder00440_CD20_46-217,52.316
binder00441_CD20_46-217,57.036
binder00442_CD20_46-217,48.308
binder00443_CD20_46-217,52.703
binder00444_CD20_46-217,47.334
binder00445_CD20_46-217,52.686
binder00446_CD20_46-217,42.898
binder00447_CD20_46-217,42.261
binder00448_CD20_46-217,34.841
binder00449_CD20_46-217,50.503
binder00450_CD20_46-217,52.591
binder00451_CD20_46-217,54.316
binder00452_CD20_46-217,36.172
binder00453_CD20_46-217,45.887
binder00454_CD20_46-217,44.446
binder00455_CD20_46-217,46.388
binder00456_CD20_46-217,43.394
binder00457_CD20_46-217,56.578
binder00458_CD20_46-217,63.328
binder00459_CD20_46-217,37.494
binder00460_CD20_46-217,35.95
binder00461_CD20_46-217,52.258
binder00462_CD20_46-217,51.605
binder00463_CD20_46-217,47.659
binder00464_CD20_46-217,38.467
binder00465_CD20_46-217,45.151
binder00466_CD20_46-217,53.116
binder00467_CD20_46-217,75.424
binder00468_CD20_46-217,50.87
binder00469_CD20_46-217,64.807
binder00470_CD20_46-217,48.158
binder00471_CD20_46-217,79.02
binder00472_CD20_46-217,73.702
binder00473_CD20_46-217,46.167
binder00474_CD20_46-217,46.614
binder00475_CD20_46-217,45.825
binder00476_CD20_46-217,62.631
binder00477_CD20_46-217,65.653
binder00478_CD20_46-217,43.32
binder00479_CD20_46-217,59.98
binder00480_CD20_46-217,75.402
binder00481_CD20_46-217,74.952
binder00482_CD20_46-217,79.941
binder00483_CD20_46-217,74.35
binder00484_CD20_46-217,71.24
binder00485_CD20_46-217,73.203
binder00486_CD20_46-217,77.23
binder00487_CD20_46-217,48.348
binder00488_CD20_46-217,71.718
binder00489_CD20_46-217,46.118
binder00490_CD20_46-217,71.63
binder00491_CD20_46-217,53.728
binder00492_CD20_46-217,69.53
binder00493_CD20_46-217,79.724
binder00494_CD20_46-217,52.257
binder00495_CD20_46-217,72.049
binder00496_CD20_46-217,73.952
binder00497_CD20_46-217,78.198
binder00498_CD20_46-217,62.111
binder00499_CD20_46-217,69.147
binder00500_CD20_46-217,64.04
binder00501_CD20_46-217,72.903
binder00502_CD20_46-217,51.279
binder00503_CD20_46-217,45.01
binder00504_CD20_46-217,80.975
binder00505_CD20_46-217,47.589
binder00506_CD20_46-217,42.032
binder00507_CD20_46-217,80.847
binder00508_CD20_46-217,46.023
binder00509_CD20_46-217,71.297
binder00510_CD20_46-217,84.919
binder00511_CD20_46-217,77.982
binder00512_CD20_46-217,74.639
binder00513_CD20_46-217,81.942
binder00514_CD20_46-217,63.607
binder00515_CD20_46-217,74.294
binder00516_CD20_46-217,72.968
binder00517_CD20_46-217,47.373
binder00518_CD20_46-217,48.379
binder00519_CD20_46-217,75.637
binder00520_CD20_46-217,40.843
binder00521_CD20_46-217,46.053
binder00522_CD20_46-217,70.487
binder00523_CD20_46-217,50.386
binder00524_CD20_46-217,48.993
binder00525_CD20_46-217,75.24
binder00526_CD20_46-217,71.77
binder00527_CD20_46-217,52.566
binder00528_CD20_46-217,75.641
binder00529_CD20_46-217,55.308
binder00530_CD20_46-217,73.394
binder00531_CD20_46-217,56.871
binder00532_CD20_46-217,53.421
binder00533_CD20_46-217,42.291
binder00534_CD20_46-217,68.536
binder00535_CD20_46-217,49.371
binder00536_CD20_46-217,76.601
binder00537_CD20_46-217,48.636
binder00538_CD20_46-217,44.085
binder00539_CD20_46-217,48.701
binder00540_CD20_46-217,74.746
binder00541_CD20_46-217,70.102
binder00542_CD20_46-217,52.056
binder00543_CD20_46-217,52.742
binder00544_CD20_46-217,48.654
binder00545_CD20_46-217,80.585
binder00546_CD20_46-217,68.222
binder00547_CD20_46-217,71.206
binder00548_CD20_46-217,81.482
binder00549_CD20_46-217,84.851
binder00550_CD20_46-217,54.267
binder00551_CD20_46-217,53.551
binder00552_CD20_46-217,81.663
binder00553_CD20_46-217,82.568
binder00554_CD20_46-217,55.635
binder00555_CD20_46-217,71.411
binder00556_CD20_46-217,68.504
binder00557_CD20_46-217,73.573
binder00558_CD20_46-217,81.252
binder00559_CD20_46-217,85.626
binder00560_CD20_46-217,78.567
binder00561_CD20_46-217,59.585
binder00562_CD20_46-217,52.161
binder00563_CD20_46-217,45.677
binder00564_CD20_46-217,81.702
binder00565_CD20_46-217,58.458
binder00566_CD20_46-217,70.497
binder00567_CD20_46-217,57.775
binder00568_CD20_46-217,48.335
binder00569_CD20_46-217,46.579
binder00570_CD20_46-217,79.059
binder00571_CD20_46-217,45.107
binder00572_CD20_46-217,58.294
binder00573_CD20_46-217,45.618
binder00574_CD20_46-217,59.713
binder00575_CD20_46-217,35.821
binder00576_CD20_46-217,68.917
binder00577_CD20_46-217,37.168
binder00578_CD20_46-217,54.158
binder00579_CD20_46-217,41.53
binder00580_CD20_46-217,68.705
binder00581_CD20_46-217,55.489
binder00582_CD20_46-217,45.797
binder00583_CD20_46-217,55.378
binder00584_CD20_46-217,45.487
binder00585_CD20_46-217,42.641
binder00586_CD20_46-217,36.911
binder00587_CD20_46-217,85.898
binder00588_CD20_46-217,57.54
binder00589_CD20_46-217,47.489
binder00590_CD20_46-217,48.972
binder00591_CD20_46-217,56.538
binder00592_CD20_46-217,60.246
binder00593_CD20_46-217,65.339
binder00594_CD20_46-217,52.144
binder00595_CD20_46-217,68.939
binder00596_CD20_46-217,35.982
binder00597_CD20_46-217,51.443
binder00598_CD20_46-217,83.681
binder00599_CD20_46-217,53.605
binder00600_CD20_46-217,54.464
binder00601_CD20_46-217,41.607
binder00602_CD20_46-217,58.745
binder00603_CD20_46-217,55.789
binder00604_CD20_46-217,57.299
binder00605_CD20_46-217,51.617
binder00606_CD20_46-217,31.378
binder00607_CD20_46-217,39.317
binder00608_CD20_46-217,44.751
binder00609_CD20_46-217,50.056
binder00610_CD20_46-217,35.531
binder00611_CD20_46-217,35.293
binder00612_CD20_46-217,47.787
binder00613_CD20_46-217,45.106
binder00614_CD20_46-217,41.808
binder00615_CD20_46-217,44.35
binder00616_CD20_46-217,74.949
binder00617_CD20_46-217,58.369
binder00618_CD20_46-217,72.753
binder00619_CD20_46-217,53.755
binder00620_CD20_46-217,43.421
binder00621_CD20_46-217,56.3
binder00622_CD20_46-217,64.059
binder00623_CD20_46-217,64.59
binder00624_CD20_46-217,62.604
binder00625_CD20_46-217,56.353
binder00626_CD20_46-217,51.251
binder00627_CD20_46-217,52.987
binder00628_CD20_46-217,51.759
binder00629_CD20_46-217,98.798
binder00630_CD20_46-217,29.867
binder00631_CD20_46-217,59.885
binder00632_CD20_46-217,57.932
binder00633_CD20_46-217,60.725
binder00634_CD20_46-217,52.936
binder00635_CD20_46-217,48.657
binder00636_CD20_46-217,98.284
binder00637_CD20_46-217,37.66
binder00638_CD20_46-217,49.494
binder00639_CD20_46-217,52.214
binder00640_CD20_46-217,51.492
binder00641_CD20_46-217,56.912
binder00642_CD20_46-217,53.912
binder00643_CD20_46-217,45.495
binder00644_CD20_46-217,55.106
binder00645_CD20_46-217,62.554
binder00646_CD20_46-217,37.613
binder00647_CD20_46-217,55.314
binder00648_CD20_46-217,78.777
binder00649_CD20_46-217,94.167
binder00650_CD20_46-217,79.952
binder00651_CD20_46-217,105.444
binder00652_CD20_46-217,85.559
binder00653_CD20_46-217,77.625
binder00654_CD20_46-217,81.269
binder00655_CD20_46-217,79.909
binder00656_CD20_46-217,87.084
binder00657_CD20_46-217,84.206
binder00658_CD20_46-217,75.771
binder00659_CD20_46-217,88.449
binder00660_CD20_46-217,94.213
binder00661_CD20_46-217,67.299
binder00662_CD20_46-217,85.776
binder00663_CD20_46-217,76.64
binder00664_CD20_46-217,78.904
binder00665_CD20_46-217,69.337
binder00666_CD20_46-217,96.34
binder00667_CD20_46-217,73.417
binder00668_CD20_46-217,78.291
binder00669_CD20_46-217,74.919
binder00670_CD20_46-217,45.573
binder00671_CD20_46-217,79.58
binder00672_CD20_46-217,74.429
binder00673_CD20_46-217,52.416
binder00674_CD20_46-217,61.316
binder00675_CD20_46-217,45.049
binder00676_CD20_46-217,43.251
binder00677_CD20_46-217,74.423
binder00678_CD20_46-217,71.617
binder00679_CD20_46-217,70.969
binder00680_CD20_46-217,47.709
binder00681_CD20_46-217,50.317
binder00682_CD20_46-217,86.155
binder00683_CD20_46-217,75.931
binder00684_CD20_46-217,51.011
binder00685_CD20_46-217,77.381
binder00686_CD20_46-217,79.443
binder00687_CD20_46-217,71.31
binder00688_CD20_46-217,45.646
binder00689_CD20_46-217,46.986
binder00690_CD20_46-217,73.684
binder00691_CD20_46-217,81.457
binder00692_CD20_46-217,70.233
binder00693_CD20_46-217,75.044
binder00694_CD20_46-217,79.963
binder00695_CD20_46-217,43.371
binder00696_CD20_46-217,78.305
binder00697_CD20_46-217,83.373
binder00698_CD20_46-217,85.101
binder00699_CD20_46-217,80.173
binder00700_CD20_46-217,76.458
binder00701_CD20_46-217,72.353
binder00702_CD20_46-217,70.552
binder00703_CD20_46-217,85.648
binder00704_CD20_46-217,71.67
binder00705_CD20_46-217,81.024
binder00706_CD20_46-217,71.418
binder00707_CD20_46-217,76.909
binder00708_CD20_46-217,81.242
binder00709_CD20_46-217,74.461
binder00710_CD20_46-217,81.01
binder00711_CD20_46-217,80.434
binder00712_CD20_46-217,48.566
binder00713_CD20_46-217,56.138
binder00714_CD20_46-217,43.05
binder00715_CD20_46-217,73.528
binder00716_CD20_46-217,84.359
binder00717_CD20_46-217,83.71
binder00718_CD20_46-217,72.866
binder00719_CD20_46-217,52.578
binder00720_CD20_46-217,70.326
binder00721_CD20_46-217,71.444
binder00722_CD20_46-217,49.599
binder00723_CD20_46-217,61.086
binder00724_CD20_46-217,72.234
binder00725_CD20_46-217,73.324
binder00726_CD20_46-217,42.599
binder00727_CD20_46-217,50.973
binder00728_CD20_46-217,59.261
binder00729_CD20_46-217,48.159
binder00730_CD20_46-217,67.419
binder00731_CD20_46-217,48.74
binder00732_CD20_46-217,59.367
binder00733_CD20_46-217,65.664
binder00734_CD20_46-217,58.013
binder00735_CD20_46-217,48.805
binder00736_CD20_46-217,54.441
binder00737_CD20_46-217,74.921
binder00738_CD20_46-217,52.953
binder00739_CD20_46-217,58.393
binder00740_CD20_46-217,61.771
binder00741_CD20_46-217,52.59
binder00742_CD20_46-217,45.801
binder00743_CD20_46-217,72.401
binder00744_CD20_46-217,35.762
binder00745_CD20_46-217,77.375
binder00746_CD20_46-217,69.66
binder00747_CD20_46-217,75.885
binder00748_CD20_46-217,61.914
binder00749_CD20_46-217,56.937
binder00750_CD20_46-217,37.93
binder00751_CD20_46-217,75.31
binder00752_CD20_46-217,76.205
binder00753_CD20_46-217,77.545
binder00754_CD20_46-217,81.521
binder00755_CD20_46-217,79.939
binder00756_CD20_46-217,76.102
binder00757_CD20_46-217,81.411
binder00758_CD20_46-217,48.616
binder00759_CD20_46-217,56.935
binder00760_CD20_46-217,77.312
binder00761_CD20_46-217,81.286
binder00762_CD20_46-217,77.529
binder00763_CD20_46-217,71.836
binder00764_CD20_46-217,73.683
binder00765_CD20_46-217,48.892
binder00766_CD20_46-217,76.648
binder00767_CD20_46-217,45.982
binder00768_CD20_46-217,79.902
binder00769_CD20_46-217,43.325
binder00770_CD20_46-217,71.099
binder00771_CD20_46-217,68.325
binder00772_CD20_46-217,47.619
binder00773_CD20_46-217,50.387
binder00774_CD20_46-217,41.259
binder00775_CD20_46-217,80.336
binder00776_CD20_46-217,45.895
binder00777_CD20_46-217,68.931
binder00778_CD20_46-217,70.322
binder00779_CD20_46-217,69.141
binder00780_CD20_46-217,63.867
binder00781_CD20_46-217,76.67
binder00782_CD20_46-217,79.713
binder00783_CD20_46-217,79.656
binder00784_CD20_46-217,68.03
binder00785_CD20_46-217,75.873
binder00786_CD20_46-217,58.214
binder00787_CD20_46-217,75.679
binder00788_CD20_46-217,76.477
binder00789_CD20_46-217,71.798
binder00790_CD20_46-217,49.776
binder00791_CD20_46-217,74.984
binder00792_CD20_46-217,45.35
binder00793_CD20_46-217,83.923
binder00794_CD20_46-217,77.114
binder00795_CD20_46-217,49.689
binder00796_CD20_46-217,72.028
binder00797_CD20_46-217,71.268
binder00798_CD20_46-217,42.088
binder00799_CD20_46-217,49.762
binder00800_CD20_46-217,60.398
binder00801_CD20_46-217,72.848
binder00802_CD20_46-217,49.443
binder00803_CD20_46-217,72.656
binder00804_CD20_46-217,47.798
binder00805_CD20_46-217,81.925
binder00806_CD20_46-217,75.92
binder00807_CD20_46-217,72.406
binder00808_CD20_46-217,42.588
binder00809_CD20_46-217,79.522
binder00810_CD20_46-217,38.468
binder00811_CD20_46-217,48.31
binder00812_CD20_46-217,76.686
binder00813_CD20_46-217,58.125
binder00814_CD20_46-217,69.942
binder00815_CD20_46-217,77.333
binder00816_CD20_46-217,46.76
binder00817_CD20_46-217,56.269
binder00818_CD20_46-217,66.307
binder00819_CD20_46-217,76.809
binder00820_CD20_46-217,45.78
binder00821_CD20_46-217,84.065
binder00822_CD20_46-217,76.034
