model,A_B_ipSAE,A_B_ipSAE_max,A_C_ipSAE,A_C_ipSAE_max,A_B_ipSAE_d0chn,A_B_ipSAE_d0chn_max,A_C_ipSAE_d0chn,A_C_ipSAE_d0chn_max,A_B_ipSAE_d0dom,A_B_ipSAE_d0dom_max,A_C_ipSAE_d0dom,A_C_ipSAE_d0dom_max
binder00064_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00065_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00066_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00067_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00068_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00069_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00070_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00071_CD20_46-217_model_0,0.006815,0.01363,0.0063095,0.012619,0.152563,0.305126,0.1447695,0.289539,0.058203,0.116406,0.03645,0.0729
binder00072_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00073_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00074_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00075_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00076_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00077_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00078_CD20_46-217_model_0,0.005381,0.010762,0.0,0.0,0.1290115,0.258023,0.0,0.0,0.005381,0.010762,0.0,0.0
binder00079_CD20_46-217_model_0,0.0,0.0,0.00585,0.0117,0.0,0.0,0.137166,0.274332,0.0,0.0,0.00585,0.0117
binder00080_CD20_46-217_model_0,0.3688415,0.454458,0.323397,0.396659,0.55394,0.568325,0.5048675,0.528258,0.544655,0.550608,0.4924509999999999,0.505159
binder00081_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00082_CD20_46-217_model_0,0.0065795,0.013159,0.006401,0.012802,0.1492885,0.298577,0.146334,0.292668,0.0065795,0.013159,0.0240945,0.048189
binder00083_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00084_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00085_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00086_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00087_CD20_46-217_model_0,0.0064935,0.012987,0.0057915,0.011583,0.1479755,0.295951,0.1362495,0.272499,0.023461,0.046922,0.0057915,0.011583
binder00088_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00089_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00090_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00091_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00092_CD20_46-217_model_0,0.0,0.0,0.0057545,0.011509,0.0,0.0,0.135591,0.271182,0.0,0.0,0.0057545,0.011509
binder00093_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00094_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00095_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00096_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00097_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00098_CD20_46-217_model_0,0.012265,0.013693,0.011963,0.012539,0.2833685,0.307372,0.27883,0.288588,0.0196435,0.02845,0.0445114999999999,0.077636
binder00099_CD20_46-217_model_0,0.0403425,0.058901,0.0841045,0.09853,0.3127379999999999,0.328932,0.3200885,0.344032,0.2049845,0.21171,0.2466245,0.259091
binder00100_CD20_46-217_model_0,0.006452,0.012904,0.0058415,0.011683,0.147026,0.294052,0.137109,0.274218,0.046637,0.093274,0.0058415,0.011683
binder00101_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00102_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00103_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00104_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00105_CD20_46-217_model_0,0.014072,0.015327,0.0,0.0,0.3936195,0.41389,0.0,0.0,0.0819715,0.151126,0.0,0.0
binder00106_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00107_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00108_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00109_CD20_46-217_model_0,0.0,0.0,0.01308,0.013852,0.0,0.0,0.377208,0.39062,0.0,0.0,0.024818,0.037328
binder00110_CD20_46-217_model_0,0.0,0.0,0.005768,0.011536,0.0,0.0,0.1358475,0.271695,0.0,0.0,0.005768,0.011536
binder00111_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00112_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00113_CD20_46-217_model_0,0.0064175,0.012835,0.0061675,0.012335,0.1467125,0.293425,0.1424815,0.284963,0.0222295,0.044459,0.0147525,0.029505
binder00114_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00115_CD20_46-217_model_0,0.0061505,0.012301,0.005973,0.011946,0.1422765,0.284553,0.139228,0.278456,0.02593,0.05186,0.005973,0.011946
binder00116_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00117_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00118_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00119_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00120_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00121_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00122_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00123_CD20_46-217_model_0,0.0,0.0,0.005515,0.01103,0.0,0.0,0.131409,0.262818,0.0,0.0,0.005515,0.01103
binder00124_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00125_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00126_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00127_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00128_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00129_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00130_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00131_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00132_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00133_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00134_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00135_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00136_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00137_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00138_CD20_46-217_model_0,0.012744,0.013514,0.0371135,0.047725,0.370838,0.384712,0.3771235,0.391501,0.06458,0.117186,0.1254425,0.16007
binder00139_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00140_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00141_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00142_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00143_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00144_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00145_CD20_46-217_model_0,0.0060705,0.012141,0.0057475,0.011495,0.140917,0.281834,0.1354905,0.270981,0.023804,0.047608,0.0057475,0.011495
binder00146_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00147_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00148_CD20_46-217_model_0,0.0057385,0.011477,0.0,0.0,0.1353345,0.270669,0.0,0.0,0.0057385,0.011477,0.0,0.0
binder00149_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00150_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00151_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00152_CD20_46-217_model_0,0.0113,0.011377,0.011687,0.01192,0.2675849999999999,0.268934,0.274219,0.278173,0.0113,0.011377,0.015344,0.019234
binder00153_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00154_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00155_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00156_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00157_CD20_46-217_model_0,0.006292,0.012584,0.0067815,0.013563,0.144731,0.289462,0.151911,0.303822,0.008204,0.016408,0.040794,0.081588
binder00158_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00159_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00160_CD20_46-217_model_0,0.0136795,0.014463,0.013013,0.013785,0.3061555,0.318327,0.2953679999999999,0.307407,0.0966924999999999,0.12616,0.111177,0.130314
binder00161_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00162_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00163_CD20_46-217_model_0,0.0061105,0.012221,0.0063525,0.012705,0.1417025,0.283405,0.1457255,0.291451,0.0061105,0.012221,0.0267495,0.053499
binder00164_CD20_46-217_model_0,0.005526,0.011052,0.0,0.0,0.131605,0.26321,0.0,0.0,0.005526,0.011052,0.0,0.0
binder00165_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00166_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00167_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00168_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00169_CD20_46-217_model_0,0.012753,0.014333,0.0125289999999999,0.013739,0.2905265,0.315708,0.287499,0.307078,0.060423,0.109673,0.0610025,0.110686
binder00170_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00171_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00172_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00173_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00174_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00175_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00176_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00177_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00178_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00179_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00180_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00181_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00182_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00183_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00184_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00185_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00186_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00187_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00188_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00189_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00190_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00191_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00192_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00193_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00194_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00195_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00196_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00197_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00198_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00199_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00200_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00201_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00202_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
